grund,tvätt
riksdagsledamot,riksdagsledamot
pensionär,pensionär
stockholm,stockholm
egenföretagare,egenföretagare
undersköterska,undersköterska
lärare,lärare
kommunalråd,kommunalråd
företagare,egenföretagare
studerande,studerande
örebro,örebro
civilingenjör,civilingenjör
politisk sekreterare,politisk tjänsteman
kalmar,kalmar
sjuksköterska,sjuksköterska
uppsala,uppsala
civilekonom,civilekonom
projektledare,projektledare
jurist,jurist
student,studerande
linköping,linköping
södermalm,södermalm
malmö,malmö
socionom,socionom
göteborg,göteborg
norrköping,norrköping
botkyrka,botkyrka
ekonom,ekonom
helsingborg,helsingborg
solna,solna
sundbyberg,sundbyberg
kungsholmen,kungsholmen
lund,lund
södertälje,södertälje
västerås,västerås
nacka,nacka
täby,täby
bromma,bromma
gymnasielärare,lärare
läkare,läkare
huddinge,huddinge
ingenjör,ingenjör
oppositionsråd,oppositionsråd
egen företagare,egenföretagare
halmstad,halmstad
oskarshamn,oskarshamn
konsult,konsult
umeå,umeå
ombudsman,fackombudsman
västervik,västervik
lidingö,lidingö
upplands väsby,upplands väsby
gruppledare,chef
skövde,skövde
norrmalm,norrmalm
järfälla,järfälla
sollentuna,sollentuna
kristianstad,kristianstad
administratör,administratör
leg. sjuksköterska,sjuksköterska
jönköping,jönköping
mölndal,mölndal
norrtälje,norrtälje
motala,motala
kommunikatör,kommunikationsrådgivare
varberg,varberg
falkenberg,falkenberg
danderyd,danderyd
entreprenör,entreprenör
kungsbacka,kungsbacka
hässelby,hässelby
hägersten,hägersten
lantbrukare,bonde
haninge,haninge
östermalm,östermalm
säljare,säljare
landstingsråd,landstingsråd
journalist,journalist
hässleholm,hässleholm
falun,falun
regionråd,regionråd
borås,borås
ekerö,ekerö
skellefteå,skellefteå
lerum,lerum
trollhättan,trollhättan
tyresö,tyresö
nynäshamn,nynäshamn
statsvetare,statsvetare
värmdö,värmdö
gävle,gävle
tjänsteman,tjänsteman
vimmerby,vimmerby
växjö,växjö
kumla,kumla
farsta,farsta
alingsås,alingsås
sundsvall,sundsvall
förskollärare,förskolelärare
trelleborg,trelleborg
österåker,österåker
nybro,nybro
bromölla,bromölla
enhetschef,chef
vallentuna,vallentuna
landskrona,landskrona
polis,polis
borlänge,borlänge
uddevalla,uddevalla
älvsjö,älvsjö
ystad,ystad
falköping,falköping
handläggare,handläggare
karlskrona,karlskrona
mörbylånga,mörbylånga
vd,vd
bagarmossen,bagarmossen
hammarbyhöjden,hammarbyhöjden
vällingby,vällingby
karlskoga,karlskoga
årsta,årsta
juriststudent,studerande
förbundssekreterare,förbundssekreterare
kävlinge,kävlinge
eskilstuna,eskilstuna
mönsterås,mönsterås
skarpnäck,skarpnäck
enköping,enköping
vänersborg,vänersborg
finspång,finspång
senior,senior
rektor,rektor
vaxholm,vaxholm
bandhagen,bandhagen
lidköping,lidköping
munkedal,munkedal
östersund,östersund
laholm,laholm
karlstad,karlstad
kanslichef,kansliansvarig
höör,höör
personlig assistent,personlig assistent
ödeshög,ödeshög
söderköping,söderköping
byggnadsarbetare,byggarbetare
verksamhetschef,chef
tibro,tibro
lindesberg,lindesberg
borgholm,borgholm
barnskötare,barnskötare
industriarbetare,arbetare
mjölby,mjölby
knivsta,knivsta
doktorand,doktorand
statstjänsteman,statstjänsteman
spånga,spånga
eslöv,eslöv
upplands-bro,upplands-bro
verksamhetsutvecklare,verksamhetsutvecklare
ängelholm,ängelholm
hallsberg,hallsberg
chaufför,chaufför
it-konsult,it-konsult
distriktssköterska,sjuksköterska
politiskt sakkunnig,politisk tjänsteman
fritidspedagog,fritidsledare
sölvesborg,sölvesborg
simrishamn,simrishamn
örkelljunga,örkelljunga
arbetsförmedlare,arbetsförmedlare
salem,salem
valdemarsvik,valdemarsvik
nora,nora
värnamo,värnamo
enskede,enskede
norsborg,norsborg
bollebygd,bollebygd
kungälv,kungälv
nationalekonom,ekonom
staffanstorp,staffanstorp
vadstena,vadstena
politiker,politiker
söderhamn,söderhamn
sigtuna,sigtuna
partiledare,partiledare
skara,skara
mullsjö,mullsjö
ekonomichef,chef
banktjänsteman,bankir
specialistsjuksköterska,sjuksköterska
avdelningschef,chef
gruppchef,chef
emmaboda,emmaboda
gnosjö,gnosjö
psykolog,psykolog
metallarbetare,arbetare
författare,författare
utredare,utredare
kock,kock
barnmorska,barnmorska
eksjö,eksjö
advokat,advokat
sunne,sunne
skinnskatteberg,skinnskatteberg
lycksele,lycksele
öckerö,öckerö
kinda,kinda
ronneby,ronneby
grundskollärare,lärare
partille,partille
ludvika,ludvika
samhällsvetare,samhällsvetare
håbo,håbo
regionchef apotek,regionchef apotek
barnläkare,läkare
kost och näringsekonom,kost och näringsekonom
perstorp,perstorp
strömstad,strömstad
byggnadsingenjör,ingenjör
sala,sala
agronom,agronom
folkhälsovetare,folkhälsovetare
örnsköldsvik,örnsköldsvik
miljökonsult,miljökonsult
sjöbo,sjöbo
it-tekniker,it-tekniker
kramfors,kramfors
mariestad,mariestad
tidaholm,tidaholm
härnösand,härnösand
degerfors,degerfors
kommunpolitiker,kommunpolitiker
högsby,högsby
ambulanssjuksköterska,ambulanssjukvårdare
sköndal,sköndal
pedagog,pedagog
behandlingsassistent,behandlare
märsta,märsta
strängnäs,strängnäs
organisationsutvecklare,organisationsutvecklare
färjestaden,färjestaden
specialpedagog,specialpedagog
